ticker,date,time,headline
tsla,Jan-02-19,04:04PM,GM Joins Tesla In Reaching This Key Threshold For Electric Car Sales
tsla,Jan-02-19,03:45PM,Tesla Wraps Up a Big Year With Record Deliveries
tsla,Jan-02-19,03:36PM,Model 3 Tracker Nails Teslas Exit From Production Hell
tsla,Jan-02-19,03:05PM,"Tesla stock tumbles after deliveries disappoint, price cuts announced"
tsla,Jan-02-19,01:54PM,Tesla's Deliveries Miss Spells More Pressure to Mass-Produce a Cheaper Model 3
tsla,Jan-02-19,01:51PM,Tesla to cut prices
tsla,Jan-02-19,01:32PM,Tesla Falls to Key Support After Deliveries Update
tsla,Jan-02-19,01:05PM,Tesla Cuts Prices as Model 3 Deliveries Miss Estimates
tsla,Jan-02-19,12:59PM,Elon Musk and Tim Cook use this simple but effective leadership tactic on Twitter
tsla,Jan-02-19,12:58PM,"GM sold 200,000 electric vehicles in U.S. by 2018, triggering tax-credit phaseout - source"
tsla,Jan-02-19,12:49PM,Tesla Sinks After Missing Fourth-Quarter Delivery Estimates and Cutting Prices
tsla,Jan-02-19,12:10PM,Stock Market News: Nasdaq Pares 1.9% Intraday Loss As Chip Stocks Lead
tsla,Jan-02-19,12:01PM,"Tesla shares drop on price cut, disappointing Model 3 deliveries"
tsla,Jan-02-19,11:59AM,Tesla's Numbers Come With Some Reservations
tsla,Jan-02-19,11:43AM,Tesla shares tumble after lackluster delivery numbers
tsla,Jan-02-19,11:03AM,"Tesla Shares Tumble After Release of Q4 Deliveries, Announces $2,000 Price Cut"
tsla,Jan-02-19,10:56AM,Obama's Favorite Business Books of 2018
tsla,Jan-02-19,10:36AM,Why Tesla Stock Was Slammed Wednesday
tsla,Jan-02-19,10:34AM,Strong U.S. Economy to Boost Wall Street in 2019
tsla,Jan-02-19,10:31AM,Tesla Sinks as Price Cuts Signal a Ceiling for Costly Models
tsla,Jan-02-19,10:25AM,Norway's electric cars zip to new record: almost a third of all sales
